x_m	y_m	psi_m	psi_error	x_error	y_error	Absolute Time	tau_commanded_psi	tau_commanded_x	tau_commanded_y	tau_psi	tau_surge	tau_sway	psi_ref_filter	x_ref_filter	y_ref_filter
1493,840211	-492,718859	5,826519	5,971404	-0,006633	-0,004056	3584074667,382610	-0,006856	-0,027890	0,001089	-0,022929	0,002131	-0,000685	0,000000	1500,577021	-488,632608
1493,788119	-492,726302	5,813198	5,964259	-0,006649	-0,004049	3584074667,392612	-0,006860	-0,027867	0,001090	-0,022901	0,002136	-0,000688	0,000000	1500,551868	-488,649767
1493,788119	-492,726302	5,813198	5,959952	-0,006648	-0,004039	3584074667,402610	-0,006863	-0,027845	0,001090	-0,022885	0,002135	-0,000691	0,000000	1500,526692	-488,666907
1493,749077	-492,778437	5,798125	5,952086	-0,006659	-0,004028	3584074667,412612	-0,006867	-0,027822	0,001091	-0,022854	0,002138	-0,000695	0,000000	1500,501493	-488,684028
1493,749077	-492,778437	5,798125	5,947343	-0,006655	-0,004015	3584074667,422608	-0,006870	-0,027799	0,001091	-0,022836	0,002136	-0,000700	0,000000	1500,476272	-488,701129
1493,713887	-492,778836	5,785703	5,938521	-0,006658	-0,004021	3584074667,432625	-0,006873	-0,027776	0,001092	-0,022802	0,002137	-0,000696	0,000000	1500,451029	-488,718212
1493,713887	-492,778836	5,785703	5,933201	-0,006650	-0,004018	3584074667,442610	-0,006877	-0,027754	0,001092	-0,022782	0,002134	-0,000696	0,000000	1500,425763	-488,735276
1493,635655	-492,818649	5,772160	5,925078	-0,006649	-0,004010	3584074667,452614	-0,006880	-0,027731	0,001093	-0,022751	0,002133	-0,000698	0,000000	1500,400476	-488,752321
1493,635655	-492,818649	5,772160	5,920180	-0,006639	-0,003998	3584074667,462613	-0,006883	-0,027708	0,001094	-0,022732	0,002128	-0,000702	0,000000	1500,375166	-488,769348
1493,583725	-492,819199	5,758385	5,911870	-0,006653	-0,004000	3584074667,472619	-0,006886	-0,027685	0,001094	-0,022700	0,002133	-0,000700	0,000000	1500,349835	-488,786356
1493,583725	-492,819199	5,758385	5,906859	-0,006652	-0,003994	3584074667,482613	-0,006889	-0,027662	0,001095	-0,022681	0,002132	-0,000701	0,000000	1500,324483	-488,803346
1493,534325	-492,863916	5,744195	5,898388	-0,006661	-0,003984	3584074667,492617	-0,006892	-0,027639	0,001095	-0,022648	0,002135	-0,000705	0,000000	1500,299109	-488,820318
1493,534325	-492,863916	5,744195	5,893280	-0,006657	-0,003971	3584074667,502613	-0,006896	-0,027615	0,001096	-0,022629	0,002133	-0,000709	0,000000	1500,273714	-488,837272
1493,510278	-492,899392	5,728484	5,884586	-0,006664	-0,003975	3584074667,512616	-0,006899	-0,027592	0,001096	-0,022595	0,002135	-0,000707	0,000000	1500,248298	-488,854207
1493,510278	-492,899392	5,728484	5,879343	-0,006658	-0,003970	3584074667,522610	-0,006902	-0,027569	0,001097	-0,022575	0,002132	-0,000707	0,000000	1500,222861	-488,871126
1493,453613	-492,949289	5,712913	5,869966	-0,006654	-0,003975	3584074667,532617	-0,006905	-0,027546	0,001097	-0,022539	0,002131	-0,000704	0,000000	1500,197403	-488,888026
1493,453613	-492,949289	5,712913	5,864310	-0,006642	-0,003971	3584074667,542614	-0,006908	-0,027523	0,001098	-0,022517	0,002126	-0,000704	0,000000	1500,171925	-488,904909
1493,367155	-493,004509	5,696545	5,854739	-0,006646	-0,003982	3584074667,552619	-0,006911	-0,027499	0,001098	-0,022481	0,002127	-0,000698	0,000000	1500,146426	-488,921775
1493,367155	-493,004509	5,696545	5,848966	-0,006639	-0,003981	3584074667,562614	-0,006913	-0,027476	0,001099	-0,022458	0,002124	-0,000697	0,000000	1500,120907	-488,938623
1493,313483	-493,036989	5,679454	5,839009	-0,006659	-0,003996	3584074667,572617	-0,006916	-0,027452	0,001099	-0,022420	0,002132	-0,000690	0,000000	1500,095368	-488,955454
1493,313483	-493,036989	5,679454	5,833002	-0,006661	-0,003999	3584074667,582615	-0,006919	-0,027429	0,001100	-0,022397	0,002132	-0,000688	0,000000	1500,069809	-488,972269
1493,263991	-493,105284	5,662086	5,822618	-0,006673	-0,004007	3584074667,592632	-0,006922	-0,027405	0,001100	-0,022357	0,002136	-0,000684	0,000000	1500,044230	-488,989066
1493,263991	-493,105284	5,662086	5,816353	-0,006670	-0,004005	3584074667,602615	-0,006925	-0,027381	0,001101	-0,022333	0,002135	-0,000683	0,000000	1500,018632	-489,005847
1493,163393	-493,148247	5,644766	5,805703	-0,006678	-0,004024	3584074667,612618	-0,006928	-0,027358	0,001101	-0,022292	0,002138	-0,000674	0,000000	1499,993014	-489,022611
1493,163393	-493,148247	5,644766	5,799278	-0,006672	-0,004029	3584074667,622613	-0,006931	-0,027334	0,001102	-0,022268	0,002136	-0,000670	0,000000	1499,967377	-489,039358
1493,121811	-493,155688	5,626119	5,788549	-0,006699	-0,004042	3584074667,632619	-0,006934	-0,027310	0,001102	-0,022226	0,002145	-0,000664	0,000000	1499,941721	-489,056089
1493,121811	-493,155688	5,626119	5,782077	-0,006704	-0,004044	3584074667,642617	-0,006937	-0,027286	0,001103	-0,022202	0,002147	-0,000663	0,000000	1499,916046	-489,072804
1493,053407	-493,195151	5,608559	5,770795	-0,006714	-0,004041	3584074667,652619	-0,006940	-0,027262	0,001103	-0,022158	0,002150	-0,000663	0,000000	1499,890353	-489,089503
1493,053407	-493,195151	5,608559	5,763989	-0,006710	-0,004033	3584074667,662618	-0,006944	-0,027237	0,001104	-0,022132	0,002147	-0,000665	0,000000	1499,864641	-489,106185
1492,976266	-493,200545	5,590133	5,752935	-0,006724	-0,004037	3584074667,672635	-0,006947	-0,027213	0,001104	-0,022090	0,002152	-0,000663	0,000000	1499,838910	-489,122852
1492,976266	-493,200545	5,590133	5,746266	-0,006722	-0,004033	3584074667,682619	-0,006950	-0,027189	0,001105	-0,022064	0,002151	-0,000664	0,000000	1499,813162	-489,139503
1492,945040	-493,242546	5,570747	5,734953	-0,006742	-0,004026	3584074667,692621	-0,006953	-0,027164	0,001106	-0,022021	0,002157	-0,000666	0,000000	1499,787395	-489,156139
1492,945040	-493,242546	5,570747	5,728127	-0,006743	-0,004015	3584074667,702619	-0,006957	-0,027140	0,001106	-0,021994	0,002157	-0,000670	0,000000	1499,761610	-489,172759
1492,842264	-493,267149	5,551402	5,716340	-0,006746	-0,004019	3584074667,712622	-0,006960	-0,027116	0,001107	-0,021949	0,002158	-0,000667	0,000000	1499,735808	-489,189364
1492,842264	-493,267149	5,551402	5,709227	-0,006738	-0,004014	3584074667,722618	-0,006964	-0,027091	0,001107	-0,021922	0,002155	-0,000667	0,000000	1499,709989	-489,205953
1492,788531	-493,299501	5,530464	5,697282	-0,006763	-0,004015	3584074667,732625	-0,006967	-0,027067	0,001108	-0,021876	0,002163	-0,000667	0,000000	1499,684152	-489,222528
1492,788531	-493,299501	5,530464	5,690075	-0,006768	-0,004008	3584074667,742620	-0,006971	-0,027042	0,001109	-0,021848	0,002164	-0,000668	0,000000	1499,658297	-489,239087
1492,741592	-493,334069	5,509715	5,677442	-0,006783	-0,004011	3584074667,752622	-0,006974	-0,027017	0,001109	-0,021800	0,002169	-0,000666	0,000000	1499,632426	-489,255632
1492,741592	-493,334069	5,509715	5,669819	-0,006781	-0,004006	3584074667,762621	-0,006978	-0,026992	0,001110	-0,021771	0,002168	-0,000667	0,000000	1499,606538	-489,272162
1492,630079	-493,363378	5,489159	5,657010	-0,006788	-0,004010	3584074667,772623	-0,006982	-0,026968	0,001111	-0,021721	0,002170	-0,000664	0,000000	1499,580634	-489,288678
1492,630079	-493,363378	5,489159	5,649280	-0,006782	-0,004006	3584074667,782621	-0,006986	-0,026943	0,001111	-0,021692	0,002167	-0,000665	0,000000	1499,554712	-489,305179
1492,545158	-493,350847	5,467706	5,636483	-0,006812	-0,004009	3584074667,792627	-0,006989	-0,026918	0,001112	-0,021643	0,002178	-0,000663	0,000000	1499,528775	-489,321666
1492,545158	-493,350847	5,467706	5,628761	-0,006821	-0,004004	3584074667,802622	-0,006993	-0,026893	0,001113	-0,021613	0,002180	-0,000665	0,000000	1499,502821	-489,338138
1492,507658	-493,365510	5,446364	5,615613	-0,006849	-0,003989	3584074667,812623	-0,006997	-0,026867	0,001114	-0,021562	0,002189	-0,000671	0,000000	1499,476852	-489,354597
1492,507658	-493,365510	5,446364	5,607679	-0,006855	-0,003974	3584074667,822618	-0,007002	-0,026842	0,001114	-0,021532	0,002191	-0,000676	0,000000	1499,450866	-489,371042
1492,447638	-493,370263	5,424139	5,594447	-0,006864	-0,003964	3584074667,832624	-0,007006	-0,026817	0,001115	-0,021481	0,002193	-0,000679	0,000000	1499,424865	-489,387473
1492,447638	-493,370263	5,424139	5,586463	-0,006859	-0,003952	3584074667,842621	-0,007010	-0,026792	0,001116	-0,021450	0,002190	-0,000683	0,000000	1499,398848	-489,403891
1492,447638	-493,370263	5,424139	5,572851	-0,006869	-0,003940	3584074667,852630	-0,007015	-0,026766	0,001117	-0,021398	0,002193	-0,000687	0,000000	1499,372816	-489,420295
1492,365748	-493,373828	5,402003	5,564637	-0,006865	-0,003926	3584074667,862626	-0,007019	-0,026741	0,001118	-0,021367	0,002191	-0,000692	0,000000	1499,346769	-489,436686
1492,315985	-493,356072	5,379873	5,559683	-0,006852	-0,003911	3584074667,872626	-0,007024	-0,026716	0,001119	-0,021348	0,002186	-0,000697	0,000000	1499,320706	-489,453063
1492,315985	-493,356072	5,379873	5,547938	-0,006867	-0,003897	3584074667,882624	-0,007028	-0,026690	0,001120	-0,021303	0,002190	-0,000702	0,000000	1499,294629	-489,469428
1492,261531	-493,363845	5,356516	5,532091	-0,006885	-0,003875	3584074667,892627	-0,007032	-0,026665	0,001121	-0,021242	0,002195	-0,000710	0,000000	1499,268537	-489,485779
1492,261531	-493,363845	5,356516	5,522527	-0,006885	-0,003855	3584074667,902622	-0,007037	-0,026639	0,001122	-0,021205	0,002194	-0,000718	0,000000	1499,242430	-489,502118
1492,190103	-493,401668	5,332434	5,507512	-0,006897	-0,003840	3584074667,912627	-0,007041	-0,026614	0,001123	-0,021147	0,002197	-0,000723	0,000000	1499,216309	-489,518444
1492,190103	-493,401668	5,332434	5,498450	-0,006894	-0,003824	3584074667,922621	-0,007046	-0,026588	0,001124	-0,021113	0,002195	-0,000728	0,000000	1499,190173	-489,534757
1492,111963	-493,413501	5,309224	5,483453	-0,006909	-0,003823	3584074667,932627	-0,007050	-0,026563	0,001125	-0,021055	0,002200	-0,000728	0,000000	1499,164023	-489,551058
1492,111963	-493,413501	5,309224	5,474401	-0,006909	-0,003816	3584074667,942625	-0,007055	-0,026537	0,001126	-0,021020	0,002199	-0,000729	0,000000	1499,137858	-489,567347
1492,080412	-493,404090	5,287668	5,459754	-0,006929	-0,003810	3584074667,952628	-0,007060	-0,026511	0,001127	-0,020964	0,002206	-0,000731	0,000000	1499,111680	-489,583623
1492,080412	-493,404090	5,287668	5,450915	-0,006930	-0,003800	3584074667,962626	-0,007065	-0,026486	0,001128	-0,020930	0,002206	-0,000734	0,000000	1499,085488	-489,599888
1492,050570	-493,396391	5,266481	5,437051	-0,006934	-0,003784	3584074667,972629	-0,007070	-0,026460	0,001129	-0,020877	0,002206	-0,000740	0,000000	1499,059282	-489,616140
