x_m	y_m	psi_m	psi_error	x_error	y_error	Absolute Time	tau_commanded_psi	tau_commanded_x	tau_commanded_y	tau_psi	tau_surge	tau_sway	psi_ref_filter	x_ref_filter	y_ref_filter
1501,924486	-478,683241	1,929738	2,126615	0,000240	0,000321	3584087543,574938	-0,001594	-0,006893	0,000375	-0,007423	0,000838	-0,000918	0,000000	1501,963001	-478,835346
1501,790268	-478,818795	1,921559	2,120338	0,000120	0,000260	3584087543,584939	-0,001599	-0,006909	0,000378	-0,007401	0,000881	-0,000907	0,000000	1501,971549	-478,837526
1501,790268	-478,818795	1,921559	2,116549	0,000045	0,000223	3584087543,594938	-0,001605	-0,006925	0,000380	-0,007388	0,000908	-0,000900	0,000000	1501,980073	-478,839682
1501,686298	-478,965173	1,914942	2,111025	-0,000058	0,000149	3584087543,604940	-0,001611	-0,006940	0,000383	-0,007369	0,000944	-0,000885	0,000000	1501,988575	-478,841816
1501,686298	-478,965173	1,914942	2,107691	-0,000123	0,000104	3584087543,614939	-0,001618	-0,006955	0,000386	-0,007357	0,000968	-0,000877	0,000000	1501,997053	-478,843925
1501,540977	-479,099509	1,908773	2,103060	-0,000207	0,000021	3584087543,624941	-0,001626	-0,006970	0,000389	-0,007341	0,000998	-0,000860	0,000000	1502,005508	-478,846010
1501,540977	-479,099509	1,908773	2,100265	-0,000260	-0,000029	3584087543,634936	-0,001634	-0,006984	0,000392	-0,007331	0,001017	-0,000851	0,000000	1502,013939	-478,848071
1501,374032	-479,245454	1,904891	2,096138	-0,000354	-0,000112	3584087543,644942	-0,001643	-0,006998	0,000395	-0,007317	0,001051	-0,000835	0,000000	1502,022345	-478,850108
1501,374032	-479,245454	1,904891	2,093647	-0,000414	-0,000161	3584087543,654940	-0,001652	-0,007012	0,000398	-0,007308	0,001072	-0,000825	0,000000	1502,030727	-478,852120
1501,203375	-479,394038	1,900957	2,090609	-0,000519	-0,000248	3584087543,664942	-0,001662	-0,007025	0,000402	-0,007298	0,001110	-0,000808	0,000000	1502,039084	-478,854107
1501,203375	-479,394038	1,900957	2,088776	-0,000586	-0,000299	3584087543,674940	-0,001673	-0,007038	0,000405	-0,007291	0,001134	-0,000798	0,000000	1502,047415	-478,856069
1501,076490	-479,451046	1,900708	2,086114	-0,000697	-0,000388	3584087543,684942	-0,001683	-0,007051	0,000409	-0,007282	0,001174	-0,000781	0,000000	1502,055721	-478,858006
1501,076490	-479,451046	1,900708	2,084509	-0,000768	-0,000442	3584087543,694940	-0,001695	-0,007063	0,000413	-0,007276	0,001199	-0,000771	0,000000	1502,064001	-478,859918
1500,968292	-479,576166	1,899668	2,083444	-0,000864	-0,000496	3584087543,704943	-0,001707	-0,007075	0,000417	-0,007273	0,001233	-0,000761	0,000000	1502,072254	-478,861804
1500,968292	-479,576166	1,899668	2,082803	-0,000925	-0,000527	3584087543,714942	-0,001720	-0,007086	0,000421	-0,007270	0,001255	-0,000755	0,000000	1502,080480	-478,863665
1500,834076	-479,680420	1,899849	2,082007	-0,001008	-0,000595	3584087543,724946	-0,001733	-0,007098	0,000425	-0,007268	0,001284	-0,000741	0,000000	1502,088679	-478,865501
1500,834076	-479,680420	1,899849	2,081530	-0,001062	-0,000636	3584087543,734941	-0,001747	-0,007109	0,000429	-0,007266	0,001303	-0,000733	0,000000	1502,096850	-478,867311
1500,772775	-479,707130	1,901997	2,081316	-0,001150	-0,000701	3584087543,744944	-0,001761	-0,007119	0,000434	-0,007265	0,001335	-0,000721	0,000000	1502,104992	-478,869095
