x_m	y_m	psi_m	psi_error	x_error	y_error	Absolute Time	tau_commanded_psi	tau_commanded_x	tau_commanded_y	tau_psi	tau_surge	tau_sway	psi_ref_filter	x_ref_filter	y_ref_filter
1490,558865	-496,032095	0,581246	0,447643	0,002909	0,001039	3584087420,182215	-0,001081	-0,003325	-0,000221	-0,001563	0,001499	0,001399	0,000000	1488,494807	-497,049907
1490,558865	-496,032095	0,581246	0,439112	0,002732	0,001040	3584087420,192215	-0,001130	-0,003287	-0,000233	-0,001533	0,001560	0,001399	0,000000	1488,515982	-497,048561
1490,212765	-496,015352	0,559256	0,424374	0,002436	0,001026	3584087420,202216	-0,001179	-0,003248	-0,000244	-0,001481	0,001664	0,001402	0,000000	1488,537184	-497,047153
1490,212765	-496,015352	0,559256	0,415478	0,002248	0,001017	3584087420,212214	-0,001229	-0,003209	-0,000255	-0,001450	0,001729	0,001404	0,000000	1488,558414	-497,045682
1489,831704	-495,927349	0,534813	0,401408	0,001990	0,001018	3584087420,222217	-0,001279	-0,003168	-0,000264	-0,001401	0,001819	0,001404	0,000000	1488,579673	-497,044149
1489,831704	-495,927349	0,534813	0,392917	0,001825	0,001017	3584087420,232220	-0,001329	-0,003128	-0,000273	-0,001372	0,001876	0,001404	0,000000	1488,600961	-497,042554
1489,482083	-495,879805	0,513609	0,378120	0,001566	0,001051	3584087420,242217	-0,001379	-0,003086	-0,000281	-0,001320	0,001966	0,001397	0,000000	1488,622278	-497,040897
1489,482083	-495,879805	0,513609	0,369190	0,001402	0,001071	3584087420,252216	-0,001429	-0,003045	-0,000288	-0,001289	0,002022	0,001394	0,000000	1488,643624	-497,039179
1489,123664	-495,822069	0,493116	0,355410	0,001155	0,001101	3584087420,262218	-0,001479	-0,003003	-0,000294	-0,001241	0,002108	0,001388	0,000000	1488,665000	-497,037399
1489,123664	-495,822069	0,493116	0,347093	0,000998	0,001118	3584087420,272216	-0,001529	-0,002960	-0,000300	-0,001212	0,002162	0,001385	0,000000	1488,686405	-497,035560
1488,818365	-495,749478	0,474826	0,333966	0,000752	0,001151	3584087420,282218	-0,001579	-0,002917	-0,000305	-0,001166	0,002247	0,001379	0,000000	1488,707840	-497,033660
