x_m	y_m	psi_m	psi_error	x_error	y_error	Absolute Time	tau_commanded_psi	tau_commanded_x	tau_commanded_y	tau_psi	tau_surge	tau_sway	psi_ref_filter	x_ref_filter	y_ref_filter
1469,174136	-502,913360	2,503574	2,498221	-0,002680	0,000739	3584087324,990113	0,008796	-0,005778	-0,000477	-0,009592	-0,002790	0,001102	0,000000	1472,118374	-503,850638
1469,047054	-502,859598	2,498593	2,494220	-0,002778	0,000819	3584087325,000113	0,008796	-0,005791	-0,000477	-0,009577	-0,002758	0,001085	0,000000	1472,115261	-503,854810
1469,047054	-502,859598	2,498593	2,491785	-0,002836	0,000869	3584087325,010115	0,008794	-0,005804	-0,000478	-0,009568	-0,002740	0,001074	0,000000	1472,112220	-503,858960
1468,959332	-502,785519	2,492128	2,488325	-0,002921	0,000923	3584087325,020114	0,008793	-0,005818	-0,000479	-0,009554	-0,002712	0,001063	0,000000	1472,109251	-503,863086
1468,959332	-502,785519	2,492128	2,486217	-0,002970	0,000956	3584087325,030114	0,008791	-0,005831	-0,000479	-0,009546	-0,002696	0,001056	0,000000	1472,106354	-503,867190
1468,914786	-502,709708	2,486367	2,482368	-0,003034	0,001008	3584087325,040116	0,008790	-0,005845	-0,000480	-0,009532	-0,002676	0,001045	0,000000	1472,103527	-503,871270
1468,914786	-502,709708	2,486367	2,480025	-0,003072	0,001040	3584087325,050113	0,008787	-0,005859	-0,000480	-0,009523	-0,002664	0,001038	0,000000	1472,100770	-503,875327
1468,827900	-502,675931	2,481181	2,476312	-0,003111	0,001092	3584087325,060115	0,008785	-0,005873	-0,000481	-0,009508	-0,002653	0,001028	0,000000	1472,098083	-503,879361
1468,827900	-502,675931	2,481181	2,474051	-0,003133	0,001124	3584087325,070114	0,008783	-0,005887	-0,000481	-0,009500	-0,002646	0,001021	0,000000	1472,095464	-503,883370
1468,813628	-502,627837	2,476042	2,470615	-0,003181	0,001159	3584087325,080116	0,008780	-0,005901	-0,000482	-0,009486	-0,002631	0,001014	0,000000	1472,092914	-503,887356
