x_m	y_m	psi_m	x_ref	y_ref	psi_ref	psi_error	x_error	y_error	Absolute Time	tau_commanded_psi	tau_commanded_x	tau_commanded_y	tau_psi	tau_surge	tau_sway
1556,548331	-452,124622	-0,041372	1,500000	-0,450000	0,000000	-0,068106	0,059876	-0,003545	3583922577,043457	0,020777	0,003328	-0,003109	-0,015026	-0,008251	-0,008056
1556,548331	-452,124622	-0,041372	1,500000	-0,450000	0,000000	-0,062494	0,059862	-0,003461	3583922577,053457	0,020933	0,003245	-0,003179	-0,015143	-0,008246	-0,008108
1556,518338	-451,974732	-0,028882	1,500000	-0,450000	0,000000	-0,053869	0,059833	-0,003324	3583922577,063457	0,021214	0,003122	-0,003274	-0,015376	-0,008225	-0,008211
1556,518338	-451,974732	-0,028882	1,500000	-0,450000	0,000000	-0,048659	0,059815	-0,003241	3583922577,073456	0,021350	0,003036	-0,003343	-0,015475	-0,008215	-0,008263
1556,472211	-451,781900	-0,017045	1,500000	-0,450000	0,000000	-0,040569	0,059792	-0,003131	3583922577,083457	0,021609	0,002918	-0,003438	-0,015684	-0,008200	-0,008338
1556,472211	-451,781900	-0,017045	1,500000	-0,450000	0,000000	-0,035683	0,059778	-0,003065	3583922577,093457	0,021731	0,002835	-0,003507	-0,015769	-0,008194	-0,008373
1556,493713	-451,624506	-0,002571	1,500000	-0,450000	0,000000	-0,028047	0,059750	-0,002949	3583922577,103458	0,021968	0,002715	-0,003601	-0,015960	-0,008175	-0,008456
1556,493713	-451,624506	-0,002571	1,500000	-0,450000	0,000000	-0,023435	0,059733	-0,002878	3583922577,113458	0,022075	0,002630	-0,003670	-0,016032	-0,008166	-0,008495
1556,457676	-451,512007	0,008613	1,500000	-0,450000	0,000000	-0,014921	0,059731	-0,002773	3583922577,123459	0,022361	0,002519	-0,003774	-0,016255	-0,008173	-0,008565
1556,457676	-451,512007	0,008613	1,500000	-0,450000	0,000000	-0,009779	0,059730	-0,002710	3583922577,133457	0,022497	0,002438	-0,003850	-0,016346	-0,008180	-0,008596
1556,446696	-451,381974	0,020436	1,500000	-0,450000	0,000000	-0,002247	0,059714	-0,002627	3583922577,143459	0,022732	0,002322	-0,003948	-0,016529	-0,008172	-0,008645
1556,446696	-451,381974	0,020436	1,500000	-0,450000	0,000000	0,002302	0,059704	-0,002576	3583922577,153458	0,022836	0,002238	-0,004020	-0,016596	-0,008171	-0,008663
1556,401001	-451,263322	0,030145	1,500000	-0,450000	0,000000	0,009729	0,059694	-0,002494	3583922577,163459	0,023067	0,002124	-0,004119	-0,016773	-0,008169	-0,008710
1556,401001	-451,263322	0,030145	1,500000	-0,450000	0,000000	0,014214	0,059687	-0,002445	3583922577,173457	0,023168	0,002041	-0,004192	-0,016836	-0,008171	-0,008728
1556,361586	-451,125610	0,040140	1,500000	-0,450000	0,000000	0,020766	0,059664	-0,002368	3583922577,183459	0,023353	0,001924	-0,004285	-0,016978	-0,008156	-0,008771
1556,361586	-451,125610	0,040140	1,500000	-0,450000	0,000000	0,024722	0,059650	-0,002321	3583922577,193459	0,023426	0,001838	-0,004353	-0,017019	-0,008151	-0,008786
