x_m	y_m	psi_m	x_ref	y_ref	psi_ref	psi_error	x_error	y_error	Absolute Time	tau_commanded_psi	tau_commanded_x	tau_commanded_y	tau_psi	tau_surge	tau_sway
1529,436774	-437,104566	-6,311107	1,500000	-0,450000	0,000000	-6,326361	0,029568	0,012680	3583903951,479351	-0,000090	-0,000864	0,004251	-0,000148	0,005685	-0,009650
1529,436774	-437,104566	-6,311107	1,500000	-0,450000	0,000000	-6,321122	0,029527	0,012733	3583903951,489348	-0,000072	-0,000871	0,004186	-0,000354	0,005711	-0,009679
1529,327827	-437,035853	-6,297494	1,500000	-0,450000	0,000000	-6,313173	0,029476	0,012797	3583903951,499351	-0,000054	-0,000877	0,004120	-0,000699	0,005747	-0,009717
1529,327827	-437,035853	-6,297494	1,500000	-0,450000	0,000000	-6,308371	0,029444	0,012836	3583903951,509348	-0,000036	-0,000882	0,004053	-0,000877	0,005762	-0,009733
1529,248363	-436,930800	-6,285836	1,500000	-0,450000	0,000000	-6,300082	0,029382	0,012887	3583903951,519351	-0,000018	-0,000886	0,003986	-0,001236	0,005807	-0,009755
1529,248363	-436,930800	-6,285836	1,500000	-0,450000	0,000000	-6,295074	0,029345	0,012917	3583903951,529350	0,000001	-0,000889	0,003919	-0,001420	0,005827	-0,009762
1529,180623	-436,822665	-6,273817	1,500000	-0,450000	0,000000	-6,287434	0,029291	0,012977	3583903951,539351	0,000019	-0,000890	0,003851	-0,001740	0,005865	-0,009795
1529,180623	-436,822665	-6,273817	1,500000	-0,450000	0,000000	-6,282819	0,029258	0,013014	3583903951,549345	0,000037	-0,000890	0,003783	-0,001899	0,005881	-0,009808
1529,180623	-436,822665	-6,273817	1,500000	-0,450000	0,000000	-6,275273	0,029212	0,013078	3583903951,559351	0,000056	-0,000889	0,003714	-0,002209	0,005912	-0,009846
1529,039355	-436,763939	-6,266852	1,500000	-0,450000	0,000000	-6,270715	0,029184	0,013117	3583903951,569352	0,000074	-0,000887	0,003646	-0,002361	0,005923	-0,009862
1528,907048	-436,696869	-6,259627	1,500000	-0,450000	0,000000	-6,267961	0,029167	0,013141	3583903951,579363	0,000092	-0,000884	0,003577	-0,002416	0,005922	-0,009865
1528,907048	-436,696869	-6,259627	1,500000	-0,450000	0,000000	-6,263541	0,029101	0,013178	3583903951,589352	0,000110	-0,000881	0,003509	-0,002559	0,005971	-0,009876
1528,542227	-436,690452	-6,291863	1,500000	-0,450000	0,000000	-6,258011	0,029008	0,013228	3583903951,599353	0,000127	-0,000876	0,003441	-0,002758	0,006047	-0,009895
1528,542227	-436,690452	-6,291863	1,500000	-0,450000	0,000000	-6,254671	0,028952	0,013257	3583903951,609350	0,000145	-0,000871	0,003373	-0,002841	0,006085	-0,009899
