x_m	y_m	psi_m	x_ref	y_ref	psi_ref	psi_error	x_error	y_error	Absolute Time	tau_commanded_psi	tau_commanded_x	tau_commanded_y	tau_psi	tau_surge	tau_sway
1538,152357	-440,392974	0,082963	1,500000	-0,450000	0,000000	0,076433	0,038086	0,009601	3583904972,042254	0,039454	0,010818	-0,009528	-0,025499	-0,024110	-0,002416
1538,152357	-440,392974	0,082963	1,500000	-0,450000	0,000000	0,077192	0,038078	0,009605	3583904972,052253	0,039460	0,010799	-0,009528	-0,025407	-0,024092	-0,002419
1538,118144	-440,374524	0,085628	1,500000	-0,450000	0,000000	0,078584	0,038086	0,009604	3583904972,062253	0,039467	0,010780	-0,009528	-0,025350	-0,024088	-0,002416
1538,118144	-440,374524	0,085628	1,500000	-0,450000	0,000000	0,079424	0,038091	0,009603	3583904972,072250	0,039473	0,010761	-0,009527	-0,025265	-0,024081	-0,002415
1538,117476	-440,361108	0,087978	1,500000	-0,450000	0,000000	0,080985	0,038080	0,009610	3583904972,082254	0,039480	0,010744	-0,009526	-0,025217	-0,024059	-0,002420
1538,117476	-440,361108	0,087978	1,500000	-0,450000	0,000000	0,081926	0,038073	0,009614	3583904972,092255	0,039486	0,010727	-0,009525	-0,025138	-0,024042	-0,002424
1538,105017	-440,389121	0,090793	1,500000	-0,450000	0,000000	0,083423	0,038069	0,009622	3583904972,102255	0,039492	0,010710	-0,009524	-0,025089	-0,024026	-0,002430
1538,105017	-440,389121	0,090793	1,500000	-0,450000	0,000000	0,084326	0,038067	0,009627	3583904972,112252	0,039498	0,010694	-0,009523	-0,025008	-0,024013	-0,002434
1538,097098	-440,388754	0,096858	1,500000	-0,450000	0,000000	0,085985	0,038060	0,009619	3583904972,122255	0,039504	0,010678	-0,009521	-0,024968	-0,023995	-0,002424
1538,097098	-440,388754	0,096858	1,500000	-0,450000	0,000000	0,086985	0,038056	0,009614	3583904972,132253	0,039510	0,010663	-0,009519	-0,024894	-0,023980	-0,002418
1538,099596	-440,389595	0,102921	1,500000	-0,450000	0,000000	0,089989	0,038051	0,009611	3583904972,142256	0,039515	0,010648	-0,009518	-0,024926	-0,023964	-0,002413
1538,099596	-440,389595	0,102921	1,500000	-0,450000	0,000000	0,091802	0,038047	0,009609	3583904972,152255	0,039521	0,010633	-0,009516	-0,024894	-0,023949	-0,002409
1538,088286	-440,381714	0,107208	1,500000	-0,450000	0,000000	0,095296	0,038046	0,009608	3583904972,162257	0,039526	0,010619	-0,009514	-0,024951	-0,023938	-0,002405
1538,088286	-440,381714	0,107208	1,500000	-0,450000	0,000000	0,097406	0,038046	0,009607	3583904972,172254	0,039531	0,010603	-0,009512	-0,024936	-0,023926	-0,002403
1538,105834	-440,387768	0,114455	1,500000	-0,450000	0,000000	0,100375	0,038041	0,009609	3583904972,182256	0,039536	0,010588	-0,009511	-0,024965	-0,023911	-0,002403
1538,105834	-440,387768	0,114455	1,500000	-0,450000	0,000000	0,102168	0,038038	0,009611	3583904972,192254	0,039540	0,010572	-0,009509	-0,024933	-0,023897	-0,002403
1538,095158	-440,378720	0,122373	1,500000	-0,450000	0,000000	0,106118	0,038043	0,009610	3583904972,202257	0,039545	0,010557	-0,009508	-0,025013	-0,023891	-0,002398
1538,095158	-440,378720	0,122373	1,500000	-0,450000	0,000000	0,108504	0,038046	0,009609	3583904972,212257	0,039549	0,010541	-0,009506	-0,025012	-0,023884	-0,002396
1538,113448	-440,392511	0,129646	1,500000	-0,450000	0,000000	0,113077	0,038044	0,009612	3583904972,222258	0,039553	0,010525	-0,009505	-0,025125	-0,023871	-0,002395
1538,113448	-440,392511	0,129646	1,500000	-0,450000	0,000000	0,115839	0,038042	0,009614	3583904972,232255	0,039557	0,010508	-0,009504	-0,025142	-0,023859	-0,002395
1538,133713	-440,378868	0,138461	1,500000	-0,450000	0,000000	0,120385	0,038049	0,009609	3583904972,242258	0,039560	0,010490	-0,009503	-0,025252	-0,023855	-0,002387
1538,133713	-440,378868	0,138461	1,500000	-0,450000	0,000000	0,123130	0,038053	0,009607	3583904972,252256	0,039564	0,010472	-0,009503	-0,025268	-0,023848	-0,002382
1538,115550	-440,364039	0,147270	1,500000	-0,450000	0,000000	0,128276	0,038063	0,009610	3583904972,262258	0,039567	0,010453	-0,009502	-0,025409	-0,023849	-0,002382
1538,115550	-440,364039	0,147270	1,500000	-0,450000	0,000000	0,131384	0,038069	0,009613	3583904972,272256	0,039570	0,010433	-0,009502	-0,025442	-0,023844	-0,002382
1538,089153	-440,391549	0,156064	1,500000	-0,450000	0,000000	0,136747	0,038066	0,009620	3583904972,282259	0,039573	0,010413	-0,009502	-0,025593	-0,023831	-0,002385
1538,089153	-440,391549	0,156064	1,500000	-0,450000	0,000000	0,139985	0,038064	0,009624	3583904972,292256	0,039575	0,010392	-0,009503	-0,025631	-0,023818	-0,002387
1538,120417	-440,376668	0,166209	1,500000	-0,450000	0,000000	0,145421	0,038052	0,009616	3583904972,302259	0,039578	0,010370	-0,009503	-0,025785	-0,023796	-0,002375
1538,120417	-440,376668	0,166209	1,500000	-0,450000	0,000000	0,148703	0,038045	0,009611	3583904972,312257	0,039580	0,010347	-0,009504	-0,025824	-0,023779	-0,002367
1538,090748	-440,376689	0,176078	1,500000	-0,450000	0,000000	0,154701	0,038053	0,009614	3583904972,322260	0,039583	0,010324	-0,009505	-0,026006	-0,023777	-0,002366
1538,090748	-440,376689	0,176078	1,500000	-0,450000	0,000000	0,158323	0,038058	0,009616	3583904972,332259	0,039585	0,010298	-0,009507	-0,026061	-0,023772	-0,002365
1538,070440	-440,398930	0,186022	1,500000	-0,450000	0,000000	0,164416	0,038049	0,009617	3583904972,342260	0,039586	0,010273	-0,009509	-0,026246	-0,023753	-0,002361
1538,070440	-440,398930	0,186022	1,500000	-0,450000	0,000000	0,168095	0,038044	0,009617	3583904972,352258	0,039588	0,010246	-0,009512	-0,026303	-0,023738	-0,002359
1538,084152	-440,403809	0,196643	1,500000	-0,450000	0,000000	0,174253	0,038033	0,009609	3583904972,362261	0,039590	0,010218	-0,009514	-0,026489	-0,023716	-0,002346
1538,084152	-440,403809	0,196643	1,500000	-0,450000	0,000000	0,177971	0,038026	0,009604	3583904972,372258	0,039591	0,010188	-0,009518	-0,026546	-0,023699	-0,002338
1538,047940	-440,412401	0,204385	1,500000	-0,450000	0,000000	0,184420	0,038027	0,009599	3583904972,382262	0,039593	0,010158	-0,009521	-0,026746	-0,023691	-0,002329
1538,047940	-440,412401	0,204385	1,500000	-0,450000	0,000000	0,188315	0,038028	0,009596	3583904972,392261	0,039594	0,010127	-0,009525	-0,026810	-0,023682	-0,002323
1537,999094	-440,442763	0,214606	1,500000	-0,450000	0,000000	0,193731	0,038014	0,009591	3583904972,402261	0,039595	0,010094	-0,009529	-0,026954	-0,023658	-0,002314
1537,999094	-440,442763	0,214606	1,500000	-0,450000	0,000000	0,197002	0,038006	0,009587	3583904972,412259	0,039596	0,010061	-0,009534	-0,026983	-0,023639	-0,002308
1537,954663	-440,476785	0,222279	1,500000	-0,450000	0,000000	0,203022	0,037981	0,009574	3583904972,422262	0,039597	0,010027	-0,009538	-0,027157	-0,023605	-0,002290
1537,954663	-440,476785	0,222279	1,500000	-0,450000	0,000000	0,206657	0,037966	0,009565	3583904972,432260	0,039598	0,009992	-0,009543	-0,027205	-0,023581	-0,002279
1537,950258	-440,424427	0,231265	1,500000	-0,450000	0,000000	0,211889	0,037940	0,009547	3583904972,442270	0,039598	0,009956	-0,009549	-0,027336	-0,023544	-0,002256
1537,950258	-440,424427	0,231265	1,500000	-0,450000	0,000000	0,215048	0,037924	0,009535	3583904972,452260	0,039599	0,009919	-0,009555	-0,027357	-0,023518	-0,002243
1537,873593	-440,427255	0,238221	1,500000	-0,450000	0,000000	0,220512	0,037912	0,009549	3583904972,462264	0,039600	0,009881	-0,009561	-0,027499	-0,023497	-0,002253
1537,873593	-440,427255	0,238221	1,500000	-0,450000	0,000000	0,223812	0,037906	0,009558	3583904972,472260	0,039600	0,009843	-0,009567	-0,027526	-0,023480	-0,002259
1537,844440	-440,413023	0,245033	1,500000	-0,450000	0,000000	0,228557	0,037871	0,009562	3583904972,482263	0,039601	0,009804	-0,009573	-0,027629	-0,023436	-0,002260
1537,844440	-440,413023	0,245033	1,500000	-0,450000	0,000000	0,231422	0,037850	0,009564	3583904972,492261	0,039601	0,009764	-0,009580	-0,027633	-0,023406	-0,002261
1537,859454	-440,327030	0,252374	1,500000	-0,450000	0,000000	0,235847	0,037826	0,009571	3583904972,502264	0,039602	0,009724	-0,009586	-0,027718	-0,023372	-0,002265
1537,859454	-440,327030	0,252374	1,500000	-0,450000	0,000000	0,238519	0,037811	0,009575	3583904972,512263	0,039603	0,009684	-0,009593	-0,027711	-0,023347	-0,002267
1537,787494	-440,353518	0,257632	1,500000	-0,450000	0,000000	0,243037	0,037809	0,009612	3583904972,522262	0,039603	0,009643	-0,009600	-0,027801	-0,023335	-0,002301
1537,787494	-440,353518	0,257632	1,500000	-0,450000	0,000000	0,245766	0,037807	0,009634	3583904972,532261	0,039604	0,009602	-0,009607	-0,027796	-0,023324	-0,002321
1537,768973	-440,348549	0,262945	1,500000	-0,450000	0,000000	0,249494	0,037777	0,009637	3583904972,542265	0,039605	0,009561	-0,009614	-0,027844	-0,023285	-0,002321
1537,768973	-440,348549	0,262945	1,500000	-0,450000	0,000000	0,251744	0,037759	0,009639	3583904972,552262	0,039606	0,009519	-0,009621	-0,027814	-0,023257	-0,002321
1537,702459	-440,311587	0,266300	1,500000	-0,450000	0,000000	0,255205	0,037741	0,009642	3583904972,562265	0,039607	0,009478	-0,009627	-0,027847	-0,023230	-0,002321
1537,702459	-440,311587	0,266300	1,500000	-0,450000	0,000000	0,257294	0,037730	0,009644	3583904972,572262	0,039608	0,009436	-0,009634	-0,027809	-0,023209	-0,002321
1537,680882	-440,310869	0,270796	1,500000	-0,450000	0,000000	0,259882	0,037697	0,009659	3583904972,582267	0,039609	0,009395	-0,009641	-0,027796	-0,023167	-0,002335
